PG.ProteinGroups	[1] 2408_UE_34-ORS-A1.raw.PG.Quantity	[2] 2408_UE_35-ORS-B1.raw.PG.Quantity	[3] 2408_UE_36-ORS-C1.raw.PG.Quantity	[4] 2408_UE_37-ORS-D1.raw.PG.Quantity	[5] 2408_UE_39-ORS-A2.raw.PG.Quantity	[6] 2408_UE_40-ORS-B2.raw.PG.Quantity	[7] 2408_UE_41-ORS-C2.raw.PG.Quantity	[8] 2408_UE_42-ORS-D2.raw.PG.Quantity	[9] 2408_UE_44-ORS-A3.raw.PG.Quantity	[10] 2408_UE_45-ORS-B3.raw.PG.Quantity	[11] 2408_UE_47-ORS-C3.raw.PG.Quantity	[12] 2408_UE_49-ORS-D3.raw.PG.Quantity
A0A0B4J2D5;P0DPI2	14279.8544921875	9766.6513671875	10843.529296875	1417.6796875	25573.09375	NaN	7568.14404296875	NaN	5575.51123046875	2889.0771484375	8987.642578125	3649.8203125
A0AV96	1498.7646484375	3943.775146484375	4713.70263671875	7504.861328125	NaN	6706.8095703125	6307.751953125	39575	4887.87451171875	3823.904296875	4614.3486328125	NaN
A3KMH1	61051.1171875	2284.54736328125	8345.3974609375	4704.8076171875	77168.171875	1990.93359375	5705.51171875	837.761474609375	38055.375	1544.4405517578125	3722.068359375	NaN
A6NHQ2	93350.90625	105313.3828125	138648.625	160016.859375	82292.8046875	116727.921875	157848.109375	164408.09375	104352.2890625	186813.078125	166702.375	109966.3046875
A8MPP1;Q92771	1680.6517333984375	11769.9423828125	7418.66357421875	835.62255859375	2.346359968185425	11384.5634765625	4964.33251953125	6930.451171875	NaN	9321.599609375	2918.06298828125	4429.77001953125
A8MQ03	2.885366439819336	NaN	2.904489517211914	0.002775401109829545	0.002941195387393236	NaN	1.8179062604904175	13.353745460510254	7.802557945251465	NaN	0.002156793838366866	NaN
A8MWD9;P62308	49819.375	84792.1640625	83263.6640625	37258.83984375	27066.90625	96810.3046875	85662.3046875	22723.53515625	21405.580078125	78197.4921875	20378.1171875	34661.87890625
A8MXV4	204279.296875	3207.34521484375	11347.7431640625	NaN	222608.8125	2447.0791015625	8912.853515625	8127.3515625	191882.1875	NaN	8676.685546875	8483.1640625
B1ATL7	90073.03125	22605.548828125	12000.216796875	NaN	20229.841796875	2702.942138671875	NaN	NaN	NaN	NaN	2849.468017578125	NaN
O00116	1725093	70716.5703125	212550.203125	187329.859375	1672241.875	72367.578125	213828.34375	135004.28125	1558539.875	83083.4921875	147653.625	176642.953125
O00148	59947.9609375	262373.71875	136047.921875	71401.84375	78469.953125	265826.84375	148796.421875	99051.5703125	62370.625	275458.34375	108574.1171875	96638.4453125
O00154	205576.53125	75585.1953125	85690.3828125	140119.328125	148174.578125	62268.66796875	52253.16015625	68808.7734375	89016.5703125	76039.2265625	84080.171875	53126.52734375
O00159	4285.5380859375	2539.46435546875	6418.00927734375	1307.0885009765625	3733.869140625	1942.6326904296875	3078.135009765625	970.2528076171875	2116.3251953125	2.344802141189575	4988.08984375	48.96513366699219
O00160;Q12965	2624.365234375	745.529296875	2681.7568359375	NaN	3623.25341796875	1230.5301513671875	5462.3251953125	NaN	1441.8170166015625	NaN	3837.081298828125	NaN
O00165	131660.28125	16635.6171875	30269.267578125	22725.8515625	127538.046875	6709.32080078125	13094.65234375	5302.85009765625	76282.6171875	4779.83740234375	10285.77734375	12369.99609375
O00231	15579.00390625	8348.423828125	8586.4150390625	155.8431396484375	5898.2578125	3556.518310546875	11635.5712890625	13523.2021484375	NaN	6578.796875	11986.7265625	9.930451393127441
O00299	47169.83203125	25946.43359375	25858.205078125	2223.809326171875	30036.140625	7982.3994140625	7173.9150390625	3.3477749824523926	10999.86328125	11257.814453125	33428.91796875	NaN
O00370	110642.1484375	142953.421875	26860.69921875	NaN	279422.46875	104876.1953125	64879.0234375	NaN	73195.2265625	20026.5625	5134.01806640625	NaN
O00411	159130.015625	126029.3828125	103595.3671875	3469.27685546875	150043.03125	76088.5859375	31844.09765625	23556.783203125	57805.171875	55271.22265625	52966.22265625	NaN
O00422	109430.8984375	420352	193632.203125	124113.1875	112073.4140625	251748.78125	175622.5	113663.3125	152233.453125	444975.9375	110485.6796875	180136.953125
O00425	234429.25	443799.46875	409071.46875	478269.71875	244918.921875	424456.03125	427040.71875	434355.96875	219697.796875	439271.0625	256324.015625	502620.46875
O00429	25222.548828125	13307.427734375	7432.41943359375	5371.8056640625	24648.4140625	11562.2998046875	6943.6044921875	6876.1953125	5821.9599609375	270.4206848144531	24259.439453125	NaN
O00443	34319.80078125	16481.259765625	17962.552734375	NaN	35830.90625	19717.185546875	6263.08642578125	77.57762145996094	16382.9140625	NaN	12069.8427734375	1556.1846923828125
O00483	18137.060546875	39221.9453125	42505.8515625	26707.998046875	10425.1845703125	43299.2734375	51375.84375	NaN	NaN	NaN	36986.49609375	76806.0859375
O00487	8428.001953125	1329.187744140625	1848.8359375	NaN	2935.193359375	3545.564453125	1639.320556640625	2.262890338897705	2681.12744140625	2784.05419921875	5412.0322265625	NaN
O00541	35075.98046875	69267.328125	53887.453125	73966.8203125	19275.623046875	44601.32421875	66628.296875	108512.1640625	8322.0234375	63406.921875	79410.4453125	42245.7265625
O00560	35419.53125	10097.76171875	11471.6357421875	10105.6015625	34321.74609375	4965.0537109375	9334.3701171875	5016.7451171875	16917.513671875	5848.00927734375	8995.5830078125	19785.4296875
O00566	6666.529296875	16986.70703125	18161.759765625	56470.5546875	6167.99462890625	10423.7548828125	14017.0107421875	52714.7578125	5527.6572265625	18559.771484375	20953.208984375	42243.32421875
O00567	67998.6328125	119859.7421875	93889.875	142053.9375	68330.2265625	102346.4453125	104984.4140625	230623.609375	49401.21875	114091.234375	147593.078125	127210.53125
O00592	5358.25390625	5288.06103515625	1780.2789306640625	NaN	2061.056396484375	NaN	1.5621848106384277	10552.2158203125	3256.067138671875	NaN	3735	NaN
O14494	27319.900390625	6481.84228515625	2923.40625	NaN	24550.869140625	2301.080078125	947.3218383789062	NaN	26646.900390625	NaN	285.2002868652344	NaN
O14578	1075636.25	610730.9375	808866	1047802.4375	1153395.625	672917.5	827232.875	890292.1875	1030587.1875	633725.375	640190.25	1150267
O14618	275048.90625	NaN	21837.615234375	3351.297607421875	261114.1875	NaN	11609.7607421875	16149.0498046875	221437.578125	NaN	9225.6455078125	9699.689453125
O14646	6455.001953125	15861.9755859375	11891.9853515625	15939.0703125	6145.3173828125	14501.609375	19200.544921875	30827.7578125	9116.3310546875	31767.470703125	17114.484375	NaN
